iter	R2	RMSE
398	0.8693182043	16855560.22
399	0.8693669622	16852415.49
400	0.8694240706	16848731.43
401	0.8695095535	16843215.42
402	0.8695871396	16838207.42
403	0.8696298228	16835451.69
404	0.8697205562	16829592.2
405	0.8697783711	16825857.5
406	0.8698851085	16818960.35
407	0.8700382366	16809060.58
408	0.8701514266	16801739.08
409	0.8702386567	16796094.56
410	0.8703810124	16786878.9
411	0.8706145251	16771751.03
412	0.8707166464	16765130.93
413	0.8707828488	16760837.9
414	0.8709757494	16748322.6
415	0.8710268002	16745008.88
416	0.8711262747	16738550.09
417	0.8712128317	16732927.98
418	0.8712881588	16728033.75
419	0.8714685197	16716309.35
420	0.8715592462	16710408.54
421	0.8716027339	16707579.38
422	0.8716897103	16701919.56
423	0.8718316624	16692678.18
424	0.8718978729	16688365.98
425	0.8720163709	16680645.6
426	0.8721115097	16674444.52
427	0.8722239453	16667113.08
428	0.8722778049	16663599.99
429	0.8723275434	16660355.04
430	0.8724113332	16654887.16
431	0.872524008	16647531.49
432	0.8725711421	16644453.5
433	0.8727558161	16632388.29
434	0.8729657437	16618662.56
435	0.8730540447	16612885.77
436	0.8731566767	16606168.9
437	0.8732009034	16603273.6
438	0.8732395193	16600745.19
439	0.873293587	16597204.42
440	0.8733620855	16592717.52
441	0.8734509536	16586894.53
442	0.873566919	16579292.95
443	0.8736895976	16571247.51
444	0.8737855802	16564950.12
445	0.8738546059	16560419.88
446	0.8739193164	16556171.72
447	0.8739937151	16551286.2
448	0.8740805465	16545582.44
449	0.8741803667	16539023.05
450	0.8742228404	16536231.22
451	0.8742996971	16531178.18
452	0.8743769375	16526098.35
453	0.8744582037	16520752.08
454	0.8745169556	16516885.88
455	0.8746183777	16510209.62
456	0.8746702973	16506790.88
457	0.8747586329	16500972.66
458	0.8748689304	16493705.02
459	0.8749203705	16490314.48
460	0.8750141983	16484128.26
461	0.8751692658	16473899.31
462	0.8752255775	16470183.17
463	0.8752643368	16467624.86
464	0.8753161358	16464205.25
465	0.8753855938	16459618.73
466	0.8754320725	16456548.88
467	0.8755232858	16450522.74
468	0.8755630172	16447897.13
469	0.875635068	16443134.65
470	0.8757824593	16433387.96
471	0.8758246275	16430598.39
472	0.8760069819	16418529.61
473	0.8761042714	16412087.05
474	0.8762512422	16402349.77
475	0.8763519613	16395673.48
476	0.8764310349	16390430.08
477	0.8765195559	16384558.23
478	0.8766033725	16378996.49
479	0.8767161391	16371510.77
480	0.8768120008	16365144.55
481	0.8768913544	16359872.75
482	0.8769770908	16354175.02
483	0.8770482152	16349446.84
484	0.8771401541	16343332.94
485	0.8772507579	16335974.79
486	0.8773963333	16326285.03
487	0.8774567495	16322261.93
488	0.8775257761	16317664.24
489	0.8775649125	16315056.9
490	0.8776097707	16312067.84
491	0.8776451482	16309710.13
492	0.8776797675	16307402.62
493	0.8777645045	16301753.18
494	0.8778287686	16297467.38
